tambaysapayag,2017-09-05 23:49,0,0,Awit sa Marawi [Esang] Keziah version ... http://,"(['mahaplag', ' leyte', ' philippines'], Location((10.58255, 124.988459133, 0.0)))",,#Buwanngwika2017 #buwanngwika #wikangmapagbago #wikangpbansa #presentasyon,905095578203209728,https://twitter.com/tambaysapayag/status/905095578203209728,uz
MMKOfficial,2017-09-05 17:42,1,11,Sa gitna ng sumiklab na kaguluhan sa Marawi ay isang kwento ng pamilya puno ng pag-asa. Tunghayan ngayong Sabado sa !,"(['Quezon City', ' Philippines'], Location((14.6509905, 121.0486155, 0.0)))",,#MMKHopeForMarawi,905003172753620992,https://twitter.com/MMKOfficial/status/905003172753620992,fil
dzIQ990,2017-09-05 17:36,1,2,Mga school furniture at repair aid para sa Marawi,"(['Makati City'], Location((14.5591272, 121.0202094, 0.0)))",,,,,fil
Fabimerlos,2017-09-05 17:27,0,0,EEUU anuncia 14,"(['United States'], Location((39.7837304, -100.4458825, 0.0)))",,,,,gl
xjohnjoshuax,2017-09-05 17:25,0,1,Nasa marawi ata https:// status/902165017977434112 …,,,,904998961068441605,https://twitter.com/xjohnjoshuax/status/904998961068441605,fil
ItsactuallyJome,2017-09-05 17:16,0,0,Panu ba maging matapang?? — Uwi ka ng marawi hahahah http:// 5V62DDAUPY6IQO6I725DJBYVR7Z7NR5RCD43F55J2RWZGYSOFJBM4QB3KK67UFYOAYUWOPQT3UY7C65IGTZ3JLRHXEKAPBDCCFWQSKPHASRDWP663T3MD7LET2S3QBA7ZXGXPBVZADDA==== …,,,,904996607464280064,https://twitter.com/ItsactuallyJome/status/904996607464280064,fil
liputan6dotcom,2017-09-05 17:11,1,2,106 Hari Pertempuran di Marawi,"(['Jakarta Indonesia'], Location((-6.1753942, 106.827183, 0.0)))",,,,,ms
cesce_es,2017-09-05 17:05,0,2,. El Pte prorroga la ley marcial en Marawi hasta finales de diciembre. La oposición le acusa de usar medios ilegales.,"(['Espa\xc3\xb1a'], Location((40.0028028, -4.003104, 0.0)))",@RRD_Davao,#Filipinas,904993911021727744,https://twitter.com/cesce_es/status/904993911021727744,es
bdsaguing,2017-09-05 16:59,0,0,Retweeted Tudla Productions ( ): Gusto naming makabalik sa Marawi dahil ang daming nahihirapang mga... http://,"(['Rome', ' Italy'], Location((34.257038, -85.1646726, 0.0)))",@tudlaprod,,904992301432406016,https://twitter.com/bdsaguing/status/904992301432406016,fil
StarFMZamboanga,2017-09-05 16:55,0,0,Mahigit 1,"(['Zamboanga City'], Location((6.9046004, 122.0763695, 0.0)))",,,,,fil
diannesapnu,2017-09-05 16:52,0,0,SUBUKAN MONG AGAWIN ANG CRUSH KO,,,,,,fil
LoBindner,2017-09-05 16:52,3,2,A dérouler,,,,,,fr
andri000me_14,2017-09-05 16:47,0,0,"RT Metro_TV Sejumlah Wanita dan Anak-anak di Marawi Tembaki Pasukan Filipina https:// u """"",,,,904989266685698049,https://twitter.com/andri000me_14/status/904989266685698049,id
Fusianto,2017-09-05 16:45,0,0,Sekalian aja tu kirim ke Marawi & Suriah biar FPI HABIS di Bumi NKRI,"(['Surakarta Jawa Tengah'], Location((-7.5692462, 110.828448, 0.0)))",,,904988751616647168,https://twitter.com/Fusianto/status/904988751616647168,id
Metro_TV,2017-09-05 16:45,4,11,Sejumlah Wanita dan Anak-anak di Marawi Tembaki Pasukan Filipina https:// u c,,,,904988725633060864,https://twitter.com/Metro_TV/status/904988725633060864,id
JjAyLaureta,2017-09-05 16:42,0,0,Dun ka na lang sa marawi,,,,904988064887463936,https://twitter.com/JjAyLaureta/status/904988064887463936,fil
Leatoot08,2017-09-05 16:41,0,0,Okay raba dw mi kay taga ilgn lage dayn duol dw sa marawi . Hahaha okay ra kyo man te mura ramag way gubat nahitabo,,,,904987896402239488,https://twitter.com/Leatoot08/status/904987896402239488,ceb
senyorakaren,2017-09-05 16:41,0,2,kalami nalang jud nimo ibala didto sa marawi dzae,"(['Davao City\xc2\xa0\xf0\x9f\x87\xb5\xf0\x9f\x87\xad'], Location((7.22650725, 125.454887691, 0.0)))",,,904987867075690496,https://twitter.com/senyorakaren/status/904987867075690496,ceb
Leatoot08,2017-09-05 16:39,0,0,Sumbong man diayg landlady hahahaha kami istoryahe te taga ilgn rman mi dli man mi taga marawi . Hahaha,,,,904987439994871808,https://twitter.com/Leatoot08/status/904987439994871808,ceb
iJoojooo,2017-09-05 16:39,0,0,Isa lang ka,"(['Butuan City', ' Caraga'], Location((14.6169132, 121.018525, 0.0)))",,,,,fil
Zhalvar,2017-09-05 16:36,0,0,Ente yg goblok..bisa bedain Perang sma Pembantaian/Genocida g?. Marawi itu Perang...beda dgn mslh kmnusian sprti trcntum dlm pmbukaan UUD.,"(['Jakarta Pusat'], Location((-6.18233995, 106.842871536, 0.0)))",,,904986498814009345,https://twitter.com/Zhalvar/status/904986498814009345,id
pm_magazin,2017-09-05 16:32,0,0,Massengrab für 27 nicht identifizierte Marawi Opfer https:// sengrab-fuer-27-nicht-identifizierte-marawi-opfer/ …,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,904985488251080704,https://twitter.com/pm_magazin/status/904985488251080704,de
DZMMTeleRadyo,2017-09-05 16:31,0,1,Gusali kung saan nakaposisyon ang mga sundalo sa main battle area sa Marawi,"(['ABS-CBN', ' Diliman', ' Quezon City'], Location((11.5874907, 122.7520466, 0.0)))",,,,,fil
andri000me_12,2017-09-05 16:29,0,0,okezonenews [FOTO] Jenazah Korban Perang Marawi Dimakamkan di Kuburan Massal http://,,,,904984780491685890,https://twitter.com/andri000me_12/status/904984780491685890,id
DDSinggalang,2017-09-05 16:28,0,0,Perjalanan Kurban Dompet Dhuafa untuk Pengungsi Marawi http://,"(['Padang Barat', ' Indonesia'], Location((-0.9524785, 100.3632419, 0.0)))",,,904984541445492738,https://twitter.com/DDSinggalang/status/904984541445492738,id
nisachaau,2017-09-05 16:28,0,0,Perjalanan Kurban Dompet Dhuafa untuk Pengungsi Marawi http:// 0,"(['Padang'], Location((-0.9524785, 100.3632419, 0.0)))",,,904984472805810176,https://twitter.com/nisachaau/status/904984472805810176,id
jorfngin,2017-09-05 16:18,0,0,[FOTO] Jenazah Korban Perang Marawi Dimakamkan di Kuburan Massal http://,,,,904982137601961985,https://twitter.com/jorfngin/status/904982137601961985,id
kiki00312,2017-09-05 16:06,0,0,Sitwasyon sa Marawi https:// via,,@YouTube,,904979053186342912,https://twitter.com/kiki00312/status/904979053186342912,fil
andri000me_12,2017-09-05 16:04,0,0,okezonenews Mantap! Militer Filipina Klaim Pimpinan Militan di Marawi Tewas http://,,,,904978489476079616,https://twitter.com/andri000me_12/status/904978489476079616,id
okezonenews,2017-09-05 16:00,5,6,Mantap! Militer Filipina Klaim Pimpinan Militan di Marawi Tewas http://,"(['Jakarta'], Location((-6.1753942, 106.827183, 0.0)))",,,904977576833105923,https://twitter.com/okezonenews/status/904977576833105923,id
pm_magazin,2017-09-05 16:00,0,0,USA unterstützen Wiederaufbau von Marawi mit P 730 Millionen https:// -unterstuetzen-wiederaufbau-von-marawi-mit-p-730-millionen/ …,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,904977572361932800,https://twitter.com/pm_magazin/status/904977572361932800,de
merdekadotcom,2017-09-05 16:00,1,0,Potret kehancuran Marawi akibat pertempuran militer Filipina vs ISIS >> . 195/20170904234346-potret-kehancuran-marawi-akibat-pertempuran-militer-filipina-vs-isis-001-nfi.html …,"(['Indonesia'], Location((-4.7993356, 114.5632032, 0.0)))",,,904977408121561088,https://twitter.com/merdekadotcom/status/904977408121561088,id
dzrhnews,2017-09-05 15:46,0,0,Higit 64,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,,,fil
DZMMTeleRadyo,2017-09-05 15:37,1,1,Abu Sayyaf leader Isnilon Hapilon,"(['ABS-CBN', ' Diliman', ' Quezon City'], Location((11.5874907, 122.7520466, 0.0)))",,,,,ar
md_mrab,2017-09-05 15:33,0,0,Yung sundalong galing sa Marawi na pinatay ng pulis,"(['Corpuz Clinic and Hospital'], Location((14.57685825, 121.05920395, 0.0)))",,,,,fil
dzrhnews,2017-09-05 15:30,0,0,Krisis sa Marawi,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,,,fil
morrielv,2017-09-05 15:27,2,1,Tumakbo siya sa Marawi !,,,,904969215613976576,https://twitter.com/morrielv/status/904969215613976576,fil
herman_pocong,2017-09-05 15:14,0,0,Lagi,"(['Tangerang', ' Indonesia'], Location((-6.1727031, 106.6408501, 0.0)))",,,,,id
gigobytez,2017-09-05 15:10,0,0,Pinsan ko kuya galing marawi hahaha,,,,904964967475974144,https://twitter.com/gigobytez/status/904964967475974144,fil
maralopezY,2017-09-05 15:07,1,6,"Words by MARAWI HERO on this coming Saturday! NAKAKA KILABOT… . ""","(['Under the sea...'], Location((51.5271646, -0.0970818102583, 0.0)))",@john__estrada @mmkofficial,,904964078292099073,https://twitter.com/maralopezY/status/904964078292099073,fil
Liza_Dar_NYC,2017-09-05 15:02,0,1,NUR MISUARI,,,,,,ms
macquinosa08,2017-09-05 14:58,0,0,mageevent ako sa Marawi . 9-13.,"(['bars', ' clubs', ' beaches & bitches'], Location((45.0999478, 1.0633322, 0.0)))",,,904962045249863681,https://twitter.com/macquinosa08/status/904962045249863681,fil
tudlaprod,2017-09-05 14:48,0,0,Ginamit ang Marawi Crisis ng US upang mas makapangamkam ng likas na yaman ng Mindanao.,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,904959454466121728,https://twitter.com/tudlaprod/status/904959454466121728,fil
maria_ariam,2017-09-05 14:34,0,0,El Ejército filipino anuncia la muerte del jefe de los yihadistas del grupo Maute en Marawi . 2017/09/04/59ad23aae5fdeac7228b45d7.html … vía,,@elmundoes,,904955832558813184,https://twitter.com/maria_ariam/status/904955832558813184,es
MMKOfficial,2017-09-05 14:23,5,16,Tatag ng isang pamilya,"(['Quezon City', ' Philippines'], Location((14.6509905, 121.0486155, 0.0)))",,,,,fil
Sir_John18,2017-09-05 14:11,0,0,Yung pag-ibig mo parang gera sa Marawi,,,,,,fil
JiwaSejuta,2017-09-05 14:01,0,0,Krisis Marawi Menyebar ke Provinsi Lain di Filipina Selatan https:// 2,,,,904947591179378688,https://twitter.com/JiwaSejuta/status/904947591179378688,id
tempodotco,2017-09-05 13:39,1,1,Maute Paksa Wanita dan Anak-anak Angkat Senjata di Marawi https://,"(['Indonesia'], Location((-4.7993356, 114.5632032, 0.0)))",,,904941985416413185,https://twitter.com/tempodotco/status/904941985416413185,ms
temponewsroom,2017-09-05 13:39,0,0,Maute Paksa Wanita dan Anak-anak Angkat Senjata di Marawi https:// 2,"(['Indonesia'], Location((-4.7993356, 114.5632032, 0.0)))",,,904941974838419456,https://twitter.com/temponewsroom/status/904941974838419456,ms
tong_basudara,2017-09-05 13:24,0,0,Kami Ansor Banser Sangihe saat krisis di Marawi Philipin,,,,,,id
romulogonzales3,2017-09-05 12:57,0,0,Songs for Heroes 3 benefit concert para sa mga sundalo sa Marawi City,,,,,,fil
MohArifWidarto,2017-09-05 12:52,0,0,Krisis Menyebar ke Provinsi Lain di Filipina Selatan https://,"(['Indonesia'], Location((-4.7993356, 114.5632032, 0.0)))",,#Marawi #internasional #news,904930308902060032,https://twitter.com/MohArifWidarto/status/904930308902060032,id
Victorialuudinh,2017-09-05 12:51,0,0,Quân đội Philippines bước vào đợt truy quét cuối cùng tại Marawi https:// via,,@YouTube,,904929899822989312,https://twitter.com/Victorialuudinh/status/904929899822989312,vi
Liy_7_45,2017-09-05 12:50,0,2,Ipatapon sa marawi yan!!!! Fight for kuya kib!!!,"(['behind you'], Location((44.4450757, -68.9994788, 0.0)))",@cassandra_vien,,904929708487262208,https://twitter.com/Liy_7_45/status/904929708487262208,fil
efraimearellano,2017-09-05 12:48,1,0,"mas okay if San ka uuwi?"" "" Marawi pa po"" ""Tingnan mo",,,,,,fil
EjGonzaga_,2017-09-05 12:47,0,3,otw marawi daw,,,,904928959376134144,https://twitter.com/EjGonzaga_/status/904928959376134144,fil
andri000me_14,2017-09-05 12:32,0,0,"RT Metro_TV Sejumlah Wanita dan Anak-anak di Marawi Tembaki Pasukan Filipina https:// u 0 """"",,,,904925134024310784,https://twitter.com/andri000me_14/status/904925134024310784,id
mnike_go,2017-09-05 12:26,0,0,Ini gimana ga ada yg komen??? Marawi loo kok diem ... mana suaranya???? https:// u s/904923132418338816 …,"(['Jakarta'], Location((-6.1753942, 106.827183, 0.0)))",,,904923753338912768,https://twitter.com/mnike_go/status/904923753338912768,id
Ifanudinalfaiz,2017-09-05 12:26,0,0,Krisis Marawi Menyebar ke Provinsi Lain di Filipina Selatan https://,"(['Kota Bogor', ' Jawa Barat'], Location((-0.6605411, 100.7877771, 0.0)))",,,904923718408966144,https://twitter.com/Ifanudinalfaiz/status/904923718408966144,id
Metro_TV,2017-09-05 12:24,6,2,Sejumlah Wanita dan Anak-anak di Marawi Tembaki Pasukan Filipina https:// u,,,,904923132418338816,https://twitter.com/Metro_TV/status/904923132418338816,id
tudlaprod,2017-09-05 12:24,2,1,Gusto naming makabalik sa Marawi dahil ang daming nahihirapang mga tao.,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,904923097987391488,https://twitter.com/tudlaprod/status/904923097987391488,fil
DoaKalbu,2017-09-05 12:19,0,0,: Krisis Marawi Menyebar ke Provinsi Lain di Filipina Selatan http://,"(['Bogor'], Location((-6.5962986, 106.7972421, 0.0)))",,#BeritaIslam,904921852354682880,https://twitter.com/DoaKalbu/status/904921852354682880,id
beritaislamku,2017-09-05 12:18,0,0,Krisis Marawi Menyebar ke Provinsi Lain di Filipina Selatan http://,"(['Indonesia'], Location((-4.7993356, 114.5632032, 0.0)))",,,904921587819970560,https://twitter.com/beritaislamku/status/904921587819970560,id
ElJin_hart,2017-09-05 12:16,0,0,Hi twitter im back at para kayong bomba na marawi dahil sabog ang notification ko,"(['Seoul', ' Republic of Korea'], Location((37.5666791, 126.9782914, 0.0)))",,,904921227210375168,https://twitter.com/ElJin_hart/status/904921227210375168,fil
panjimascom,2017-09-05 12:13,3,3,Krisis Marawi Menyebar ke Provinsi Lain di Filipina Selatan . 0 5/krisis-marawi-menyebar-ke-provinsi-lain-di-filipina-selatan/ …,,,,904920407962038272,https://twitter.com/panjimascom/status/904920407962038272,id
CatolosAngelito,2017-09-05 12:09,0,0,They deserve a Salute. Marawi Heroes. kudos mga maha naming sundalo.,"(['Manila City', ' National Capital'], Location((14.5906216, 120.9799696, 0.0)))",,,904919398728646656,https://twitter.com/CatolosAngelito/status/904919398728646656,fil
diverginity,2017-09-05 12:08,0,9,Haircut then marawi . Twinking nanaman ang lolo nyo.,"(['National Capital Region'], Location((14.5736108, 121.0329706, 0.0)))",,,904919163604316160,https://twitter.com/diverginity/status/904919163604316160,fil
tudlaprod,2017-09-05 12:05,1,1,Balak rin ng gobyerno na gawing tourist spot ang Marawi sa pangunguna ng USAID,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,,,fil
tudlaprod,2017-09-05 12:03,1,2,Magkakaroon ng rehabilitation sa Marawi ngunit balak itong gawing malaking military base.,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,904917924854370304,https://twitter.com/tudlaprod/status/904917924854370304,fil
tudlaprod,2017-09-05 12:00,0,0,Ginamit ang paghuli kay Hapilon at pinalaki ang rido ng mga pamilya upang makapasok ang mga tropang Amerikano sa Marawi,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,,,fil
MuslimLifeID,2017-09-05 11:50,0,0,Konflik ISIS di Marawi,"(['Jakarta', ' Indonesia'], Location((-6.1753942, 106.827183, 0.0)))",,,,,id
totocyven,2017-09-05 11:49,0,0,Mga kawani ng Marawi city hall,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,,,fil
rhoanbisyosa,2017-09-05 11:48,0,0,Yan na naman ang tunog Marawi,,,,904914116271259649,https://twitter.com/rhoanbisyosa/status/904914116271259649,fil
maramagutlapig,2017-09-05 11:43,0,0,kung ayaw nilang nasa hukay na ang isa nilang paa sana ibang trabaho pinasok nila. gudjab pala AFP at pinapahirapan nyo pulis sa marawi https:// atus/904910300972892160 …,,,,904912774349721601,https://twitter.com/maramagutlapig/status/904912774349721601,fil
JeMzhortel,2017-09-05 11:41,0,0,nainterview sa bombo radio ang aming ceo dahil sa ginawa nyang pagtulong sa mga apektado ng gyera sa marawi ..... http://,"(['Zamboanga City', ' Zamboanga Peni'], Location((6.9046004, 122.0763695, 0.0)))",,,904912380987146240,https://twitter.com/JeMzhortel/status/904912380987146240,fil
ajohnreydave,2017-09-05 11:37,0,3,Sabi ng nag-ED sa amin,,,,,,fil
unicefphils,2017-09-05 11:37,0,1,Salamat sa pag-donate! Ongoing pa rin ang aming relief programs para sa mga apektado ng Marawi conflict,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,,,fil
rosemariemaaar,2017-09-05 11:21,0,2,Biyaheng marawi tomorrow,,,,904907346672992256,https://twitter.com/rosemariemaaar/status/904907346672992256,fil
Radyoagila1062,2017-09-05 11:19,0,0,Pagtatapos ng military operations sa Marawi City laban sa teroristang Maute Group nasa kamay na ng mga ground ... - http:// 91,,,,904906788075655168,https://twitter.com/Radyoagila1062/status/904906788075655168,fil
anqaa_e,2017-09-05 11:12,0,0,كلهم عندهم ماماتهم الا انا,,,,904904941428510720,https://twitter.com/anqaa_e/status/904904941428510720,ar
67b102feabf5471,2017-09-05 11:05,0,1,ko ga ada yg dikirim ke marawi perang sama Isis yaa?? Pdhal disana jga bnyak muslim dibunuh,,@BadjaNuswantara @CNNIndonesia,,904903340802183168,https://twitter.com/67b102feabf5471/status/904903340802183168,id
DoaKalbu,2017-09-05 10:49,0,0,: Lagi,"(['Bogor'], Location((-6.5962986, 106.7972421, 0.0)))",,,,,id
gutawadinda,2017-09-05 10:48,0,0,Tentara Filipina Klaim Diserang Wanita dan Anak-Anak Dalam Pertempuran Marawi http:// tentara-filipina-klaim-diserang-wanita-dan-anakanak-dalampertempuran-marawi.Wa4LvOsnVfY.twitter …,"(['Depok'], Location((-7.7689657, 110.405357249, 0.0)))",,#,904898885897805824,https://twitter.com/gutawadinda/status/904898885897805824,id
steepfunny24,2017-09-05 10:44,0,2,sana this time papayagan na ako ng parents kong pumunta sa marawi .,"(['Davao Region', ' Republic of the'], Location((7.0645241, 125.6084143, 0.0)))",,,904897911678308352,https://twitter.com/steepfunny24/status/904897911678308352,fil
Choleskee,2017-09-05 10:36,0,3,What's with the Caloocan Police? Sila dapat yung sinasabak sa Marawi eh kung hilig din nila ang mamaril,,,,904896003681075200,https://twitter.com/Choleskee/status/904896003681075200,fil
rykahtog,2017-09-05 10:32,0,1,,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,#PrayForMarawi,904895073325744128,https://twitter.com/rykahtog/status/904895073325744128,#VALUE!
M_Pingouin,2017-09-05 10:18,0,0,L'armée philippine rassemblerait plus de troupes d'élite avant l'assaut final à City . on/624531/military-to-deploy-more-elite-troops-for-final-push-in-marawi/story/ …,"(['Beijing'], Location((39.9059631, 116.391248, 0.0)))",,#Marawi,904891530841694208,https://twitter.com/M_Pingouin/status/904891530841694208,fr
vonibraja,2017-09-05 10:16,0,0,Sbg negara tetangga,,,,,,id
HotNewsGarasi,2017-09-05 10:12,0,0,Marawi : Duterte Ajak Indonesia dan Malaysia Demi Berantas ISIS https:// di-marawi/ … C,,,,904889863052414977,https://twitter.com/HotNewsGarasi/status/904889863052414977,id
Tatuaje_famosos,2017-09-05 10:01,0,0,Isang MALAMIG na BANGKAY na si ABULLAH MAUTE! KUMPIRMADO na ng KASUNDULHAN sa MARAWI ! https:// 8,"(['Espa\xc3\xb1a'], Location((40.0028028, -4.003104, 0.0)))",,,904887182556626944,https://twitter.com/Tatuaje_famosos/status/904887182556626944,fil
SoksiNews,2017-09-05 9:57,0,0,Tentara Filipina Klaim Diserang Wanita dan Anak-Anak Dalam Pertempuran Marawi http:// tentara-filipina-klaim-diserang-wanita-dan-anakanak-dalampertempuran-marawi.Wa4EbzrKm-g.twitter …,,,#,904886088661032960,https://twitter.com/SoksiNews/status/904886088661032960,id
gayonara,2017-09-05 9:56,0,0,Walamg magawa sa buhay!tulungan nio na lang mga sundalo sa marawi makipagbarilan kayo dun para maipaglaban nio ang minamahal.niong bansa!,"(['matnog sorsogon'], Location((12.5854588, 124.0847727, 0.0)))",,,904885907647430656,https://twitter.com/gayonara/status/904885907647430656,fil
sasaolivia1,2017-09-05 9:48,0,0,Duterte Akan Ajak Pasukan Indonesia Dan Malaysia Untuk Memburu Militan ISIS Di Marawi - http:// e-akan-ajak-pasukan-indonesia-dan.html …,"(['indonesi'], Location((-4.7993356, 114.5632032, 0.0)))",,,904883832981135360,https://twitter.com/sasaolivia1/status/904883832981135360,ms
mamaciaaa,2017-09-05 9:35,0,0,Konflik kog iga selesai-selesai. Dari Marawi pindah Myanmar. Myanmar beres kira-kira pindah mana lagi ya?,"(['Depan TV'], Location((-7.9521976, 112.612411377, 0.0)))",,,904880546127286272,https://twitter.com/mamaciaaa/status/904880546127286272,ms
Indoharian,2017-09-05 9:30,0,0,http:// Indoharian.com - Duterte Ajak Indonesia dan Malaysia Ikut Perang Melawan ISIS di Marawi http://,"(['Indonesia'], Location((-4.7993356, 114.5632032, 0.0)))",,#sumberinformasi,904879276725477376,https://twitter.com/Indoharian/status/904879276725477376,ms
HatawTabloid,2017-09-05 9:23,0,0,LP nakasawsaw sa Marawi crisis? | Hataw Tabloid http:// c,"(['Intramuros', ' Manila'], Location((14.5905862, 120.97533, 0.0)))",,,904877652720238592,https://twitter.com/HatawTabloid/status/904877652720238592,fil
aj_padama,2017-09-05 9:23,0,0,Ang worst na mga nangyayari sa Pinas Gang ngayon sa Marawi di pa din matapos tapos. Tsk Tas eto sunod2 ang kunwaring nanlaban na tao. Haay,"(['Dubai', ' United Arab Emirates'], Location((2.9470179, 30.961206, 0.0)))",,,904877528493391872,https://twitter.com/aj_padama/status/904877528493391872,fil
radyopilipinas1,2017-09-05 9:19,0,0,BALITA: Año,"(['Quezon City', ' Philippines'], Location((14.6509905, 121.0486155, 0.0)))",,,,,es
OrkanandaKevin,2017-09-05 9:17,0,0,Itu yang daulah daulah islam yg kemaren nyusahin marawi berani nggak invansi Myanmar? Katanya atas nama Islam,"(['Sleman', 'DIY', 'Indonesia'], Location((-7.6894175, 110.381290427, 0.0)))",,,,,id
beverlybverona,2017-09-05 9:16,0,2,Gyera pa rin sa Marawi bes. Inggit parin yung paulinian na nag Sarahah. Masakit puson ko,"(['4 Privet Drive'], Location((40.155473, -76.8152656667, 0.0)))",,,904875758300012544,https://twitter.com/beverlybverona/status/904875758300012544,fil
GrabKyle,2017-09-05 9:10,0,1,Hindi alam ng AFP na naghahanda ang Maute/ISIS sa Marawi para sa malaking ataki nila. Ibig sabihin mahina ang intel gathering natin???,"(['Cebu City'], Location((10.3090298, 123.8930839, 0.0)))",,,904874264762789888,https://twitter.com/GrabKyle/status/904874264762789888,fil
GrabKyle,2017-09-05 9:07,0,1,Mahigit apat na buwan na ang gyera sa Marawi .Ganon sila ka handa,"(['Cebu City'], Location((10.3090298, 123.8930839, 0.0)))",,,,,fil
GrabKyle,2017-09-05 9:06,0,1,Nawawasak ang bahay at buhay ng taga Marawi dahil sa gyera na yan. Kng naagapan agad hindi sana darating sa ganon.Nasaan kaya intel fund????,"(['Cebu City'], Location((10.3090298, 123.8930839, 0.0)))",,,904873346059210752,https://twitter.com/GrabKyle/status/904873346059210752,fil
ranah_riau,2017-09-05 9:05,0,0,http:// jar-isis-marawi-duterte-gandeng-malaysia-dan-indonesia-bentuk-satgas.html … Hajar ISIS Marawi,"(['Riau', ' Indonesia'], Location((0.5004112, 101.5475811, 0.0)))",,,,,id
GrabKyle,2017-09-05 9:04,0,0,Malaking pundo ang nakalaan sa rehabilitasyon sa Marawi,"(['Cebu City'], Location((10.3090298, 123.8930839, 0.0)))",,,,,fil
GrabKyle,2017-09-05 9:01,0,1,Kng hindi maagapan ng gobyerno ang krisis na nangyari sa Marawi maari ito ang dahilan makakuha sila ng suporta ng tao.,"(['Cebu City'], Location((10.3090298, 123.8930839, 0.0)))",,,904872058651160576,https://twitter.com/GrabKyle/status/904872058651160576,fil
dzbb,2017-09-05 9:00,0,1,Bakbakan ng militar at grupong Maute sa lungsod ng Marawi,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,,,fil
GrabKyle,2017-09-05 8:51,0,1,Maubos man ang mga MAUTE/ISIS sa Marawi,"(['Cebu City'], Location((10.3090298, 123.8930839, 0.0)))",,,,,fil
vonibraja,2017-09-05 8:51,0,1,Mungkin bs jadi di marawi,,,,,,id
vonibraja,2017-09-05 8:49,17,9,Rohingya diserang bereaksi(bagus..) Trus marawi di serang di philipine,,,,,,id
MusicChartsPH,2017-09-05 8:43,0,0,BillboardPH Top 20: - Awit Sa Marawi | Esang de Torres (new),"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,#16,904867627008278528,https://twitter.com/MusicChartsPH/status/904867627008278528,fil
norjana_panton,2017-09-05 8:33,0,0,Dapat yung gumawa neto isabak sa bakbakan sa marawi eh sarap patayin pota nananahimik na yung patay... http://,,,,904864997028724736,https://twitter.com/norjana_panton/status/904864997028724736,fil
Kedah_Tawakal_,2017-09-05 8:33,2,0,Om Duterte mw diajak ke Burma gak?. Perangi ISIS di Marawi,,,,,,id
IvanSwiftiexzxc,2017-09-05 8:33,0,0,Akala ko talaga ang naglalaban ngayon is ang Maute and Marawi . Iyaq na ko...,,,,904864926912602113,https://twitter.com/IvanSwiftiexzxc/status/904864926912602113,fil
zdeconflits,2017-09-05 8:25,0,0,Bataille de Marawi : nouvelle étape dans le conflit à Mindanao,,,,,,fr
dzbb,2017-09-05 8:12,1,6,Elite group ng militar,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,,,fil
kittycat_momma,2017-09-05 7:57,2,1,Let us all be reminded -- FACT: 11 bala ang tumama sa nag-iisang sundalong lumaban para sa kalayaan ng Marawi. JusticeForPFCBartolomehttps://,"(['Bicol Region'], Location((13.100588, 123.523133109, 0.0)))",,#,904855986472550400,https://twitter.com/kittycat_momma/status/904855986472550400,fil
MalayaNewsPH,2017-09-05 7:50,0,0,"I liked a YouTube video MARAWI UPDATE - SEPTEMBER 5, 2017 LUMILIYAB NA BALITA NGAYONG ARAW PANOORIN",,@,,904854314245648384,https://twitter.com/MalayaNewsPH/status/904854314245648384,fil
econcepcion,2017-09-05 7:46,0,1,Kalerks! Kaya sya full battle gear sa Marawi maski kakain lang eh! Hahahaha!,,,,904853211361640449,https://twitter.com/econcepcion/status/904853211361640449,fil
Hussein_Alattos,2017-09-05 7:33,1,1,"Yap, malah ada yg bilang Junta mencegah seperti Marawi, ARSA dah bai'at ama Albaghdadi lah","(['Kabupaten Bogor'], Location((-6.47725355, 106.826573318, 0.0)))",,,904849935509553153,https://twitter.com/Hussein_Alattos/status/904849935509553153,ms
hearditright,2017-09-05 7:32,0,1,Palagi na lang pinapalutang yang saf44 na yan.. Ilan na ba ang patay sa Marawi.. It's worse,"(['Dasmarinas', ' Calabarzon'], Location((14.6455597, 120.9995684, 0.0)))",,,904849581099302912,https://twitter.com/hearditright/status/904849581099302912,fil
hendrosusanto,2017-09-05 7:31,0,0,"Duterte Ajak Indonesia dan Malaysia Perangi ISIS di Marawi: , Manila - Presiden…","(['Pekanbaru'], Location((0.51532535, 101.445454638, 0.0)))",,,904849495132962816,https://twitter.com/hendrosusanto/status/904849495132962816,id
