stygianirone,2017-07-13 23:58,0,0,"Good evening, ma'am! Reflection po sa Dispatches from Marawi hehe.",,@DiNaProfMSSyj,,885528895797186560,https://twitter.com/stygianirone/status/885528895797186560,fil 
sexyprettyghost,2017-07-13 19:14,0,0,PrayForMarawi,"(['PHILIPPINES!'], Location((12.7503486, 122.7312101, 0.0)))",,#,885457332838191104,https://twitter.com/sexyprettyghost/status/885457332838191104,pl
annedemeterio,2017-07-13 19:13,0,1,OMG! UNG GINAWANG KANTA NUNG SUNDALO PARA SA MGA TAGA MARAWI,"(['Maldives'], Location((25.2258151, 55.1830144241, 0.0)))",,,885457271353782272,https://twitter.com/annedemeterio/status/885457271353782272,fil
PascuaMhynz,2017-07-13 19:13,0,0,Bangon Marawi,"(['Pangasinan'], Location((15.916667, 120.333333, 0.0)))",,,885457264231895040,https://twitter.com/PascuaMhynz/status/885457264231895040,fil
shrzrfl,2017-07-13 19:13,0,1,lamia ninyo ipadalag marawi oy total inyong mga nawong mura man sag mga salin sa marawi aw sorry HAHAHAHAHA,,,,885457249023414273,https://twitter.com/shrzrfl/status/885457249023414273,ceb
DelfinMiguel,2017-07-13 19:13,0,0,"Preparing myself, into listening the Bangon Marawi song. feel ko madaming feels.","(['Mandaluyong City', ' National Cap'], Location((14.5774598, 121.0334694, 0.0)))",,,885457203167195136,https://twitter.com/DelfinMiguel/status/885457203167195136,fil
RodelasJoana,2017-07-13 19:13,0,0,Umahon ka Marawi.,"(['Rizal', ' Central Luzon'], Location((14.65, 121.25, 0.0)))",,,885457194728144896,https://twitter.com/RodelasJoana/status/885457194728144896,fil
shemprdsx,2017-07-13 19:13,0,0,PrayforMarawi,"(['manila', ' PH'], Location((14.5906216, 120.9799696, 0.0)))",,#,885457138037936128,https://twitter.com/shemprdsx/status/885457138037936128,pl
DeaaaaaneSenpai,2017-07-13 19:13,0,0,Lord sana po matapos na yung gulo sa Marawi City,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,885457101174095872,https://twitter.com/DeaaaaaneSenpai/status/885457101174095872,fil
Niccoleeeeeee,2017-07-13 19:13,0,0,Nalungkot lang ako dun sa kanta nung isang sandalo tungkol sa Marawi.,,,,885457099928387584,https://twitter.com/Niccoleeeeeee/status/885457099928387584,fil
trshmbmlc2,2017-07-13 19:13,0,0,BANGON MARAWI,,,,885457087974694912,https://twitter.com/trshmbmlc2/status/885457087974694912,fil
izamiejoy,2017-07-13 19:12,0,1,Luoya jd aning mga taga Marawi oy mga yawa mn jd ning maute ba,"(['Dvo'], Location((51.9948305, 5.66616532284, 0.0)))",,,8.85457E+17,https://twitter.com/izamiejoy/status/885457000997376000,fil
itsmejofelyn,2017-07-13 19:12,0,0,marawi bumagon ka.,"(['Samal', ' Bataan'], Location((7.0781942, 125.712041, 0.0)))",,,885456923927101440,https://twitter.com/itsmejofelyn/status/885456923927101440,fil
imjanellasofine,2017-07-13 19:12,0,0,Marawi,"(['San Fernando', ' Pampanga'], Location((16.9134645, -93.2203812019, 0.0)))",,,885456810815102978,https://twitter.com/imjanellasofine/status/885456810815102978,fil
alvarinojp,2017-07-13 19:12,0,2,Sana matapos na ang gulo sa Marawi pati sa lahat ng gulo sa mundo.,"(['Batangas City', ' Calabarzon'], Location((13.65966045, 121.06852702, 0.0)))",,,885456791898693632,https://twitter.com/alvarinojp/status/885456791898693632,fil
Andreavheayap1,2017-07-13 19:11,0,0,Marawi bumangon ka,,,,885456754179362816,https://twitter.com/Andreavheayap1/status/885456754179362816,fil
riveraljohnrey,2017-07-13 19:11,0,0,JOINT TASKFORCE MARAWI MEDIA BRIEFING | | 2 PATAY NA SUNDALO DAHIL SA MINTIS NA A1R$TR1KE: via YouTube,"(['Bohol', ' Philippines'], Location((9.833333, 124.1615579, 0.0)))",@,,885456666606620673,https://twitter.com/riveraljohnrey/status/885456666606620673,lt
TVPatrol,2017-07-13 19:11,3,6,"TVPatrol Mga miyembro ng Maute group na nakikipagbakbakan sa militar, kumokonti na ayon sa JTF Marawi MarawiClash | ulat ni","(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",@,# #,885456607471181824,https://twitter.com/TVPatrol/status/885456607471181824,fil
y4nnah,2017-07-13 19:10,0,2,watching the news for the first time in months and I'm deadass crying sobrang nakakagigil yung nangyayari sa marawi ayoko nsnnsnnnd,,,,885456502328147968,https://twitter.com/y4nnah/status/885456502328147968,fil
24OrasGMA,2017-07-13 19:10,1,2,Habang tumatagal ang bakbakan lalo ring humihirap ang sitwasyon ng mga tropa ng gobyerno sa Marawi.,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,885456298397052929,https://twitter.com/24OrasGMA/status/885456298397052929,fil
leyashkate,2017-07-13 19:09,0,0,dami ng napatay because of the war in marawi. tang-,,,,885456253425655810,https://twitter.com/leyashkate/status/885456253425655810,fil
roghcallp_,2017-07-13 19:09,0,0,Grabe na sa marawi ! :(,"(['MANILA'], Location((14.5906216, 120.9799696, 0.0)))",,,885456073372483584,https://twitter.com/roghcallp_/status/885456073372483584,fil
RizelleRqrtrs,2017-07-13 19:09,1,2,Grabe talaga yung bakbakan sa marawi,,,,885456059833368577,https://twitter.com/RizelleRqrtrs/status/885456059833368577,fil
Unni_Jo,2017-07-13 19:08,0,1,Ipadala natin sa Marawi para may silbi.,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,885455988173676544,https://twitter.com/Unni_Jo/status/885455988173676544,fil
lamimayy,2017-07-13 19:08,0,0,Krisis sa marawi,"(['Guinayangan', ' Calabarzon'], Location((13.8974782, 122.4539118, 0.0)))",,,885455853523877888,https://twitter.com/lamimayy/status/885455853523877888,fil
colorblind456,2017-07-13 19:08,0,0,PrayforMarawi,"(['Philipines'], Location((14.23424875, 121.092662381, 0.0)))",,#,885455789569171456,https://twitter.com/colorblind456/status/885455789569171456,pl
cosmecabalteja,2017-07-13 19:04,0,0,I liked a YouTube video Marawi Andha so kapyangka,"(['Scarborough', ' Ontario'], Location((54.2847601, -0.4090339, 0.0)))",@,,885454997256908800,https://twitter.com/cosmecabalteja/status/885454997256908800,ny
ericarreza,2017-07-13 19:02,0,1,Dear Pres. Duterte pls send Supt Marcos to Marawi City at baka kaya nyang patayin ang mga terorista pra tapos n ang kaguluhan dun.,,,#,885454482800132096,https://twitter.com/ericarreza/status/885454482800132096,fil
HiDanics,2017-07-13 19:01,0,0,Sarap ipadala sa marawi eh,,,,885454253216550912,https://twitter.com/HiDanics/status/885454253216550912,fil
HawkingWannaBe,2017-07-13 19:00,0,1,Hagis natin sa ilog papuntang marawi hahahha,,,,885453922520911872,https://twitter.com/HawkingWannaBe/status/885453922520911872,fil
itsjustRAIN,2017-07-13 18:58,0,0,"Turkey: our terrorists in your country Ano na nangyari sa intelligence funds? Dipa tapos gulo sa Marawi, me bago na naman na HINDI ALAM",,,,885453260638662656,https://twitter.com/itsjustRAIN/status/885453260638662656,fil
shekyshakey,2017-07-13 18:57,0,0,Marawi,"(['CAGAYAN \xe2\x80\xa2 CEBU'], Location((8.47658335, 124.642950294, 0.0)))",,,885453190950395905,https://twitter.com/shekyshakey/status/885453190950395905,fil
msmsmkmk968,2017-07-13 18:56,0,0,,,,,885452792860733446,https://twitter.com/msmsmkmk968/status/885452792860733446,#VALUE!
msmsmkmk968,2017-07-13 18:55,0,0,,,,,885452665286795264,https://twitter.com/msmsmkmk968/status/885452665286795264,#VALUE!
rmnnetworks,2017-07-13 18:55,0,0,"LATESTNEWS 59-anyos na lalaki, sugatan matapos tamaan ng ligaw na bala sa evacuation center sa Marawi City",,,#,885452603374444547,https://twitter.com/rmnnetworks/status/885452603374444547,fil
shekyshakey,2017-07-13 18:54,0,0,Gakasakitan kos gakahitabo sa Marawi ay,"(['CAGAYAN \xe2\x80\xa2 CEBU'], Location((8.47658335, 124.642950294, 0.0)))",,,885452365062524928,https://twitter.com/shekyshakey/status/885452365062524928,ceb
amjadefuentes,2017-07-13 18:53,0,0,Hahahaha try ko if may bilin pa hahhauhuhu kay hatag ko bi iban sa marawi hehehe,,,,885452203669856256,https://twitter.com/amjadefuentes/status/885452203669856256,fil
neverbeenkish,2017-07-13 18:53,0,7,"Sa tingin ko, kailangan na nating humingi ng tulong kay Capt. Yoo Si Jin at Sergeant Seo Dae Young para matapos na ang bakbakan sa Marawi.","(['lost'], Location((57.2045769, -3.0790219, 0.0)))",,,885452001412235264,https://twitter.com/neverbeenkish/status/885452001412235264,fil
ssangcaan,2017-07-13 18:52,0,0,Naging IDP po ako nong Sendong. Kaya wag po kayo mawalan ng pag-asa! I'am a christian and I stand with Marawi. -Tess,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,885451966523990016,https://twitter.com/ssangcaan/status/885451966523990016,fil
alydcrza,2017-07-13 18:51,0,1,oo nga eh. dun ka na nga sa marawi,,,,885451588717887488,https://twitter.com/alydcrza/status/885451588717887488,ceb
asyer37,2017-07-13 18:49,0,0,Bangsa ini jgn jd bangsa yg mundur dan hancur sprti suriah marawi dan lainya dgn tingkat pembunuhan yg kejam dan tdk manusiawi,"(['Benda'], Location((47.9918388, 17.2996393, 0.0)))",,,885451178112237568,https://twitter.com/asyer37/status/885451178112237568,id
dwiz882,2017-07-13 18:46,0,0,Nagpasalamat si Padilla sa publiko na patuloy na nagdadasal at sumusuporta sa tropa ng gobyerno na nasa Marawi. BNSPnewsupdate,"(['Pasig City', ' Philippines'], Location((9.7771753, 125.4915723, 0.0)))",,#,885450342283923457,https://twitter.com/dwiz882/status/885450342283923457,fil
patrol_ph,2017-07-13 18:44,0,0,"Ligaw na bala, tumama sa lalaki sa kapitolyo ng Marawi",,,,885449877739769856,https://twitter.com/patrol_ph/status/885449877739769856,fil
egdsgn,2017-07-13 18:44,0,0,"Libu-libong kabataan, hindi makapasok sa eskwela dahil sa gulo sa Marawi","(['Davao City', ' Davao Region'], Location((7.22650725, 125.454887691, 0.0)))",,,885449748269891584,https://twitter.com/egdsgn/status/885449748269891584,fil
muzi_kha,2017-07-13 18:44,0,0,"Libu-libong kabataan, hindi makapasok sa eskwela dahil sa gulo sa Marawi","(['The Office'], Location((9.6663813, 80.0122994306, 0.0)))",,,885449743605923840,https://twitter.com/muzi_kha/status/885449743605923840,fil
chris19thws,2017-07-13 18:44,0,0,"Libu-libong kabataan, hindi makapasok sa eskwela dahil sa gulo sa Marawi","(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,885449738425954304,https://twitter.com/chris19thws/status/885449738425954304,fil
PoGo_Port,2017-07-13 18:44,0,0,"Libu-libong kabataan, hindi makapasok sa eskwela dahil sa gulo sa Marawi",,,,885449730381279233,https://twitter.com/PoGo_Port/status/885449730381279233,fil
orga_ogop,2017-07-13 18:44,0,0,"Libu-libong kabataan, hindi makapasok sa eskwela dahil sa gulo sa Marawi",,,,885449725213847552,https://twitter.com/orga_ogop/status/885449725213847552,fil
RTheKrak3n,2017-07-13 18:43,0,0,"Libu-libong kabataan, hindi makapasok sa eskwela dahil sa gulo sa Marawi",,,,885449717957701632,https://twitter.com/RTheKrak3n/status/885449717957701632,fil
tamumy,2017-07-13 18:42,0,0,"Time check: Nasa Bulacan pa rin ako, pero bakit feeling ko nasa Marawi ako? Araw-araw kasi pinaglalaban kita","(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,885449286158131202,https://twitter.com/tamumy/status/885449286158131202,fil
Yanggorgeous_,2017-07-13 18:42,1,1,MM: na alin? ako: jusko naman ma bakit ka kinasal? MM: bakit anak? bawal? ako: bat di kami invited nakakainis MM: may laban sa marawi hahaha,"(['riverdale'], Location((41.5444778, -90.4581879, 0.0)))",,,885449245796454402,https://twitter.com/Yanggorgeous_/status/885449245796454402,fil
dwiz882,2017-07-13 18:41,0,0,Padilla: Ang Task Force Marawi po ay nakatalaga para sa rehabilitasyon ng lungsod. BNSPnewsupdate,"(['Pasig City', ' Philippines'], Location((9.7771753, 125.4915723, 0.0)))",,#,885449196853121024,https://twitter.com/dwiz882/status/885449196853121024,fil
pektusinmo,2017-07-13 18:41,0,0,"Marawi nang nasirang kabuhayan, pangarap at buhay. There won't be peace on earth, unless we live as one!","(['Pilipinas'], Location((12.7503486, 122.7312101, 0.0)))",,,885449112950276098,https://twitter.com/pektusinmo/status/885449112950276098,fil
dwiz882,2017-07-13 18:41,0,0,"Padilla sa rehabilitasyon ng Marawi: Meron po tayo ngayon, yung tinayo ng Pangulo na Task Force Marawi. BNSPnewsupdate","(['Pasig City', ' Philippines'], Location((9.7771753, 125.4915723, 0.0)))",,#,885449062647975938,https://twitter.com/dwiz882/status/885449062647975938,fil
netizens88,2017-07-13 18:40,0,0,"Video ng pakikipaglaban at pagpatay ng Maute at ASG sa Marawi, inilabas sa media netizensPH pinoynetizens pinoy…",,,# # #,885448780719431680,https://twitter.com/netizens88/status/885448780719431680,fil
_tapsilog,2017-07-13 18:39,0,6,O ayan tapos patuloy pa rin ang air strikes sa Marawi kahit dalawang beses nang hanay natin ang natamaan. Tangina ang bobo ng admin na 'to.,,,,885448497062858752,https://twitter.com/_tapsilog/status/885448497062858752,fil
24OrasGMA,2017-07-13 18:39,0,1,"...dahil sa sumablay na namang air strike ng militar. Mula sa Marawi, nakatutok live si makipulido","(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",@,,885448475403460610,https://twitter.com/24OrasGMA/status/885448475403460610,fil
24OrasGMA,2017-07-13 18:38,0,4,Tuloy pa rin ang mga air strike sa Marawi. Sa kabila 'yan ng pagkasawi ng dalawang sundalo...,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,885448406419652609,https://twitter.com/24OrasGMA/status/885448406419652609,fil
CesaLaurr,2017-07-13 18:37,0,0,coba liat contoh g udh2.. Marawi adalah satu wilayah kecil di Filipina namun jadi contoh kehancuran akibat perang saudara wiranto1947,,@,,885448209383936001,https://twitter.com/CesaLaurr/status/885448209383936001,id
24OrasGMA,2017-07-13 18:36,0,4,"Yan ang ipinangako ng nasa 2,000 bagong graduates ng Mindanao State University-Marawi Campus na nagmartsa sa Iligan. | victoriatulad","(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",@,,885447858970804224,https://twitter.com/24OrasGMA/status/885447858970804224,fil
24OrasGMA,2017-07-13 18:36,0,9,Pagtulong sa muling pagbangon ng Marawi.,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,885447783359979520,https://twitter.com/24OrasGMA/status/885447783359979520,fil
tubbylita21,2017-07-13 18:35,0,0,Congrats sa mga Marawi graduates!,"(['San Mateo Rizal'], Location((14.6944636, 121.1180323, 0.0)))",,,885447508075216896,https://twitter.com/tubbylita21/status/885447508075216896,fil
patrol_ph,2017-07-13 18:34,0,0,"2 sundalo patay, 11 sugatan sa pumalyang air strike ng militar sa Marawi",,,,885447240562745344,https://twitter.com/patrol_ph/status/885447240562745344,fil
RRfabon,2017-07-13 18:19,0,0,Ipatapon nalang kaya kita sa marawi ftaaa ka!,,,,885443671151136769,https://twitter.com/RRfabon/status/885443671151136769,fil
ReportersNBGMA7,2017-07-13 18:19,0,1,"Ang iba pang update sa sitwasyon sa Marawi, ating abangan sa ReportersNotebook pagkatapos ng saksi!","(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",@,#,885443489894248448,https://twitter.com/ReportersNBGMA7/status/885443489894248448,fil
CRSVirtualRTV,2017-07-13 18:16,0,0,Marawi Bumangon Ka!,,,,885442849788968961,https://twitter.com/CRSVirtualRTV/status/885442849788968961,fil
PTVisMin,2017-07-13 18:15,0,0,"SentroBalita: P1-M donasyon para sa Marawi City, ipinagkaloob ng COMELEC",,,#,885442431927427072,https://twitter.com/PTVisMin/status/885442431927427072,fil
PTVph,2017-07-13 18:15,1,7,"SentroBalita: P1-M donasyon para sa Marawi City, ipinagkaloob ng COMELEC","(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,#,885442431856111618,https://twitter.com/PTVph/status/885442431856111618,fil
delegreat_me,2017-07-13 18:13,0,0,BiyayaSaMarawi: A Fundraising Activity for the Families of Marawi 18,"(['Los Angeles', ' CA & Manila', ' PH'], Location((34.054935, -118.244476, 0.0)))",,#,885442009510662144,https://twitter.com/delegreat_me/status/885442009510662144,fil
dzrhnews,2017-07-13 18:12,0,1,"Hinihinalang execution spot ng mga terorista sa Marawi City, nadiskubre AlasSaisEnPunto","(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,#,885441674779926528,https://twitter.com/dzrhnews/status/885441674779926528,fil
LOrientLeJour,2017-07-13 18:10,1,0,Philippines : Deux militaires tués dans une frappe aérienne à Marawi,"(['Beyrouth', ' Liban'], Location((33.8959203, 35.47843, 0.0)))",,# #,885441312203431937,https://twitter.com/LOrientLeJour/status/885441312203431937,fr
PHINewsNet2,2017-07-13 18:06,0,0,"[FIRST ON TWITTER]Marcos: Kung may terorismo sa Marawi, merong hostage crisis sa kongreso. (via rapplerdotcom) OnlyInThePhilippines","(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",@,#,885440381663330304,https://twitter.com/PHINewsNet2/status/885440381663330304,fil
News5AKSYON,2017-07-13 18:04,2,0,Nilinaw ni Brig. Gen. Padilla na aksidente ang ikinamatay ng dalawang sundalo sa Marawi.Hindi raw direktang tumama sa mga sundalo ang bomba.,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,885439885523394561,https://twitter.com/News5AKSYON/status/885439885523394561,fil
litharryture,2017-07-13 18:03,0,0,HALA OY NANINUOD SI MAMA MAG MSU MARAWI DAW KO.,,,,885439453577084929,https://twitter.com/litharryture/status/885439453577084929,ceb
Najmahbee,2017-07-13 18:02,0,4,Kaya pala hinahatak ako ng Sm kase pupunta dito pinsan kong panget from Marawi and si Khinna nandito rin sa sm. Tangina life. Huhu,"(['Dubai', ' UAE'], Location((2.9470179, 30.961206, 0.0)))",,,885439397218222080,https://twitter.com/Najmahbee/status/885439397218222080,fil
brigadanational,2017-07-13 17:58,0,0,"Isang bakwit, tinamaan ng stray bullet sa Marawi Read more:","(['Makati', ' PH'], Location((14.55459465, 121.021407905, 0.0)))",,,885438331978371072,https://twitter.com/brigadanational/status/885438331978371072,fil
nieuws_redactie,2017-07-13 17:49,0,0,Al 45 burgerdoden bij offensief rond Filipijnse Marawi,"(['Belgium'], Location((50.6407351, 4.66696, 0.0)))",,,885435958358888448,https://twitter.com/nieuws_redactie/status/885435958358888448,nl
AnnMG51,2017-07-13 17:48,1,0,Haha ni Hindi nga nakapunta sa Marawi! Panaginip!,,,,885435758814699520,https://twitter.com/AnnMG51/status/885435758814699520,fil
janelgalpao,2017-07-13 17:47,1,1,san na pinatapon naba sa marawi ?!?,,,,885435581706125312,https://twitter.com/janelgalpao/status/885435581706125312,fil
dzbb,2017-07-13 17:46,0,0,"Bilang ng mga sibilyang nadadamay sa giyera sa Marawi, patuloy na nadaragdagan ayon sa AFP. | via glenjuego","(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",@,,885435215056850945,https://twitter.com/dzbb/status/885435215056850945,fil
PTVph,2017-07-13 17:45,1,4,"SentroBalita: DSWD, patuloy ang pagbibigay ayuda sa mga bakwit sa Marawi City 8","(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,#,885434881362325505,https://twitter.com/PTVph/status/885434881362325505,fil
PTVisMin,2017-07-13 17:45,0,0,"SentroBalita: DSWD, patuloy ang pagbibigay ayuda sa mga bakwit sa Marawi City 8",,,#,885434879164403712,https://twitter.com/PTVisMin/status/885434879164403712,fil
Sophiaescobal,2017-07-13 17:41,0,3,Abadam_Vidaaa cristina_swing raine_camus amoy marawi dito sa Jeep te,,@ @ @,,885433892060016641,https://twitter.com/Sophiaescobal/status/885433892060016641,ha
habooi93,2017-07-13 17:39,0,0,تعاالي خذيه,"(['Muscat', ' Oman'], Location((18.3717337, -72.2862809, 0.0)))",,,885433570965282816,https://twitter.com/habooi93/status/885433570965282816,ar
nieuwsfeitenbel,2017-07-13 17:39,0,0,Al 45 burgerdoden bij offensief rond Filipijnse Marawi,,,,885433442225336321,https://twitter.com/nieuwsfeitenbel/status/885433442225336321,nl
PoGo_Port,2017-07-13 17:36,0,0,"PNP, positibo na mawawakasan na ang kaguluhan sa Marawi City sa loob ng 15 araw",,,,885432683400003584,https://twitter.com/PoGo_Port/status/885432683400003584,fil
PoGo_Port,2017-07-13 17:36,0,0,"COMELEC, nagbigay ng P1-M donasyon sa DSWD para sa mga bakwit sa Marawi City",,,,885432679239344129,https://twitter.com/PoGo_Port/status/885432679239344129,fil
roxas_gian,2017-07-13 17:34,0,0,Marawi!,"(['Gwapo Village', ' Pasig City'], Location((7.0534534, 125.5657392, 0.0)))",,,885432337197973504,https://twitter.com/roxas_gian/status/885432337197973504,fil
RenzON5e,2017-07-13 17:34,3,7,Dahil sa patuloy na bakbakan sa Marawi. Graduation ng MSU Marawi idinaos sa MSU Iligan campus.,,@,,885432307036717056,https://twitter.com/RenzON5e/status/885432307036717056,fil
extrajossy,2017-07-13 17:31,0,2,nianhis Wizmaster ang sundalo nga gibutang sa Marawi kay nangulata ug civilian sa Manila hahaha mao diay lain kaayog tan aw sa amo,,,,885431559192322049,https://twitter.com/extrajossy/status/885431559192322049,ceb
mariahannahpaz,2017-07-13 17:30,0,1,Dae mo na yan utruhon ha! Papatapon tka sa marawi hahaha,"(['beside you\xc2\xa0\xf0\x9f\x92\x99'], Location((17.9641091, -76.5147812, 0.0)))",,,885431210817736704,https://twitter.com/mariahannahpaz/status/885431210817736704,fil
egdsgn,2017-07-13 17:26,0,0,"PNP, positibo na mawawakasan na ang kaguluhan sa Marawi City sa loob ng 15 araw","(['Davao City', ' Davao Region'], Location((7.22650725, 125.454887691, 0.0)))",,,885430213018095616,https://twitter.com/egdsgn/status/885430213018095616,fil
muzi_kha,2017-07-13 17:26,0,0,"PNP, positibo na mawawakasan na ang kaguluhan sa Marawi City sa loob ng 15 araw","(['The Office'], Location((9.6663813, 80.0122994306, 0.0)))",,,885430208387526656,https://twitter.com/muzi_kha/status/885430208387526656,fil
chris19thws,2017-07-13 17:26,0,0,"PNP, positibo na mawawakasan na ang kaguluhan sa Marawi City sa loob ng 15 araw","(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,885430203450667008,https://twitter.com/chris19thws/status/885430203450667008,fil
PoGo_Port,2017-07-13 17:26,0,0,"PNP, positibo na mawawakasan na ang kaguluhan sa Marawi City sa loob ng 15 araw",,,,885430198648352768,https://twitter.com/PoGo_Port/status/885430198648352768,fil
orga_ogop,2017-07-13 17:26,0,0,"PNP, positibo na mawawakasan na ang kaguluhan sa Marawi City sa loob ng 15 araw",,,,885430193447456768,https://twitter.com/orga_ogop/status/885430193447456768,fil
RTheKrak3n,2017-07-13 17:26,0,0,"PNP, positibo na mawawakasan na ang kaguluhan sa Marawi City sa loob ng 15 araw",,,,885430184979156993,https://twitter.com/RTheKrak3n/status/885430184979156993,fil
gmanewstvQRT,2017-07-13 17:24,0,0,"Kaugnay ng ikalawang air strike accident ng militar sa Marawi kahapon, makakapanayam natin si B/Gen. Restituto Padilla, Spokesperson ng AFP","(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,885429688184721408,https://twitter.com/gmanewstvQRT/status/885429688184721408,fil
PresPoliticsPh,2017-07-13 17:23,0,0,I liked a YouTube video BANGON MARAWI TRENDING SONG VIDEO ! SUNDALO NAG ALAY NG KANTA PARA SA TAGA MARAWI,"(['Davao Region'], Location((7.0645241, 125.6084143, 0.0)))",@,,885429584681979904,https://twitter.com/PresPoliticsPh/status/885429584681979904,fil
believer023,2017-07-13 17:23,0,0,Oo since nung nangyri sa marawi. Dto kmi nag bakwit hahah! Andduh ang mga minions kya nga kailan ulit mg hiring ang kamc? Hahaha,"(['Jannah'], Location((37.7757628, -122.4457492, 0.0)))",,,885429493761953792,https://twitter.com/believer023/status/885429493761953792,fil
SuaraPembaruan,2017-07-13 17:23,0,0,"Serang ISIS Marawi, Jet Filipina Salah Sasaran","(['Jakarta'], Location((-6.1753942, 106.827183, 0.0)))",,,885429481598365696,https://twitter.com/SuaraPembaruan/status/885429481598365696,id
larachii__,2017-07-13 17:20,0,1,Sa Marawi may ganap,,,,885428827869949953,https://twitter.com/larachii__/status/885428827869949953,fil
EngrJS,2017-07-13 17:20,0,0,"Umulan nga lang sa Marawi e hindi ka na nakapunta, ahaha! Also, I am ready for you to die.",,,,885428717899599872,https://twitter.com/EngrJS/status/885428717899599872,fil
HLN_BE,2017-07-13 17:18,3,0,Al 45 burgerdoden bij offensief rond Filipijnse Marawi,"(['Belgi\xc3\xab'], Location((50.6407351, 4.66696, 0.0)))",,#,885428188347678720,https://twitter.com/HLN_BE/status/885428188347678720,nl
egdsgn,2017-07-13 17:17,0,0,"COMELEC, nagbigay ng P1-M donasyon sa DSWD para sa mga bakwit sa Marawi City","(['Davao City', ' Davao Region'], Location((7.22650725, 125.454887691, 0.0)))",,,885427897342754817,https://twitter.com/egdsgn/status/885427897342754817,fil
muzi_kha,2017-07-13 17:17,0,0,"COMELEC, nagbigay ng P1-M donasyon sa DSWD para sa mga bakwit sa Marawi City","(['The Office'], Location((9.6663813, 80.0122994306, 0.0)))",,,885427892431327233,https://twitter.com/muzi_kha/status/885427892431327233,fil
chris19thws,2017-07-13 17:17,0,0,"COMELEC, nagbigay ng P1-M donasyon sa DSWD para sa mga bakwit sa Marawi City","(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,885427887461068801,https://twitter.com/chris19thws/status/885427887461068801,fil
PoGo_Port,2017-07-13 17:17,0,0,"COMELEC, nagbigay ng P1-M donasyon sa DSWD para sa mga bakwit sa Marawi City",,,,885427882239156228,https://twitter.com/PoGo_Port/status/885427882239156228,fil
orga_ogop,2017-07-13 17:17,0,0,"COMELEC, nagbigay ng P1-M donasyon sa DSWD para sa mga bakwit sa Marawi City",,,,885427876660600834,https://twitter.com/orga_ogop/status/885427876660600834,fil
RTheKrak3n,2017-07-13 17:17,0,0,"COMELEC, nagbigay ng P1-M donasyon sa DSWD para sa mga bakwit sa Marawi City",,,,885427868930625536,https://twitter.com/RTheKrak3n/status/885427868930625536,fil
Balitanghali11,2017-07-13 17:16,0,1,"VIDEO: Libu-libong kabataan, hindi makapasok sa eskwela dahil sa gulo sa Marawi","(['Quezon City', ' Philippines'], Location((14.6509905, 121.0486155, 0.0)))",,,885427646204477440,https://twitter.com/Balitanghali11/status/885427646204477440,fil
dzIQ990,2017-07-13 17:14,0,0,"Airstrike sa Marawi, iginiit na dapat ng ihinto ng militar ayon sa grupong Gabriela | erwinaguilonINQ","(['Makati City'], Location((14.5591272, 121.0202094, 0.0)))",@,,885427241093668864,https://twitter.com/dzIQ990/status/885427241093668864,fil
dzIQ990,2017-07-13 17:13,0,0,"Paggamit ng FA50 fighter jets sa Marawi, sinuspinde muna ng AFP | chonayu1","(['Makati City'], Location((14.5591272, 121.0202094, 0.0)))",@,,885427023526670336,https://twitter.com/dzIQ990/status/885427023526670336,fil
DreigingNL,2017-07-13 17:12,10,1,Aan ISIS gelieerde terroristen executeren 45 burgers in Filipijnse Marawi -,"(['The Netherlands'], Location((36.2992331, -89.751194, 0.0)))",,#,885426695586664448,https://twitter.com/DreigingNL/status/885426695586664448,nl
jbasas85,2017-07-13 17:11,0,0,Lingap sa kababayan nating taga Marawi,,,,885426571586162688,https://twitter.com/jbasas85/status/885426571586162688,fil
RacquelBayan,2017-07-13 17:10,0,0,"National Nutrition Council, tinutugunan na ang kakulangan sa nutrisyon ng mga evacuees mula Marawi… via rmnnetworks","(['National Capital Region'], Location((14.5736108, 121.0329706, 0.0)))",@,,885426205582794754,https://twitter.com/RacquelBayan/status/885426205582794754,fil
