egdsgn,2017-08-24 23:58,0,0,PNP headquarters sa Marawi City,"(['Davao City', ' Davao Region'], Location((7.22650725, 125.454887691, 0.0)))",,,,,fil
babela_lorybel,2017-08-24 20:10,5,1,Letche! Ka Pablo! Ginawa mong marawi Yung palabas ah wahahah JaniceHung ForARH2,"(['Makati City', ' National Capital'], Location((14.5591272, 121.0202094, 0.0)))",@gmanetwork,#ARHPagtakas,900691792168759296,https://twitter.com/babela_lorybel/status/900691792168759296,fil
jatf0416,2017-08-24 20:09,0,2,Sa ikatlong pagkakataon muling bumisita si Pangulong Rody Duterte sa Marawi City para kamustahin at palakasin ang... http://,,,,900691576594153472,https://twitter.com/jatf0416/status/900691576594153472,fil
sasakuramish,2017-08-24 20:01,1,0,bagay sa marawi HAHAHAHA,"(['ph'], Location((12.44249325, 122.160395164, 0.0)))",,,900689464221065216,https://twitter.com/sasakuramish/status/900689464221065216,fil
24OrasGMA,2017-08-24 19:58,1,7,Napasok na ng mga militar ang isa sa dalawang mosque sa Marawi kung saan pinaniniwalaang nagkuta...,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,900688712748507137,https://twitter.com/24OrasGMA/status/900688712748507137,fil
Asnayyyy,2017-08-24 19:55,0,1,Maka worry ate ko sa Marawi ma assign ahay ;(((((,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,900688050967019521,https://twitter.com/Asnayyyy/status/900688050967019521,fil
_danieldave,2017-08-24 19:51,0,0,walay problema mupatay og adik,"(['DVO'], Location((51.9948305, 5.66616532284, 0.0)))",,,,,ceb
marawi_22,2017-08-24 19:49,1,0,ماينس 17؟ يالليّ محلّـيه الدنيا بـ قلبي وعـيني,,@mowiie,,900686473166553088,https://twitter.com/marawi_22/status/900686473166553088,ar
wilfredbasquial,2017-08-24 19:47,0,0,Estorya nen Diki: Naipit she Marawi suta sanbarkada jen taga Itogon tan e Tubday. Idi inligtas era ni sulsharo,,,,,,fil
marawi_22,2017-08-24 19:46,1,0,ماينس ١٧ ||صاحبة عُمري و رضا قلبي اخت دنيتي و كل الحياه,,@mowiie,,900685857384017921,https://twitter.com/marawi_22/status/900685857384017921,ar
24OrasGMA,2017-08-24 19:46,1,1,: Bukod sa patuloy na pagkadurog ng Marawi dahil sa tatlong buwan nang bakbakan patong-patong na rin ang nagiging problema...,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,#KapusongTotoo,900685709232685057,https://twitter.com/24OrasGMA/status/900685709232685057,fil
NewsRmn,2017-08-24 19:44,0,0,LOOK! Pangulong Duterte,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,,,fil
claudemolinaa,2017-08-24 19:42,0,1,Paki resbakan nga sarap itapon sa marawi hahaha,"(['Unknown City'], Location((-35.2842065, 149.1246182, 0.0)))",,,900684680625766400,https://twitter.com/claudemolinaa/status/900684680625766400,fil
itsmaykil,2017-08-24 19:39,0,2,aykog ignag ga war gyapon dadtos sa marawi,"(['Ph'], Location((12.44249325, 122.160395164, 0.0)))",,,900684106538733569,https://twitter.com/itsmaykil/status/900684106538733569,ceb
Motasticcc,2017-08-24 19:38,0,0,Pati sundalong lumaban sa Marawi nanlaban?,"(['Calamba Laguna'], Location((14.2143059, 121.1675675, 0.0)))",,,900683775540998144,https://twitter.com/Motasticcc/status/900683775540998144,fil
StrategicNews1,2017-08-24 19:38,0,0,Les forces ont repris le commissariat de police de . Localisation: http:// .994940&lon=124.293968&z=19&m=b …,,,#AFP #Marawi #Philippines #lang,900683679424491520,https://twitter.com/StrategicNews1/status/900683679424491520,fr
telanandre_,2017-08-24 19:36,0,1,para kong marawi,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,,,fil
alphapadillaz,2017-08-24 19:35,2,0,pinapatapon sa marawi HAHAHA https:// atus/900367994798211072 …,,,#PushAwardsKathNiels,900682964895285249,https://twitter.com/alphapadillaz/status/900682964895285249,fil
marawi_22,2017-08-24 19:31,0,0,مابين نعمة وجودك وجمال حياتي فيك ، الله يبقيك لي,,,,900681851685220354,https://twitter.com/marawi_22/status/900681851685220354,ar
hanzgarr,2017-08-24 19:30,0,0,May natambangan na sundalo from marawi na pauwi sa Zamboanga,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,,,fil
rras22,2017-08-24 19:28,0,0,Ang gulo2 na dw kc. He needs to seek solace in Marawi .,"(['Quezon City', ' Philippines'], Location((14.6509905, 121.0486155, 0.0)))",,,900681317918031874,https://twitter.com/rras22/status/900681317918031874,fil
24OrasGMA,2017-08-24 19:28,1,3,Nauwi sa trahedya ang masaya sanang pag-uwi ng isang sundalo sa Zamboanga mula sa bakbakan sa Marawi .,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,900681284900364288,https://twitter.com/24OrasGMA/status/900681284900364288,fil
PaduaZai,2017-08-24 19:28,0,0,Maka HIGHBLOOD ning mga buang nga mga tao baaah! Kaning sundalo nga nakasurvive sa marawi nga gipatay. Louy kaayo... http://,"(['Cagayan De Oro City'], Location((8.42980265, 124.682410212, 0.0)))",,,900681175202766848,https://twitter.com/PaduaZai/status/900681175202766848,ceb
hermie05_kb,2017-08-24 19:27,8,1,Sundalong nakaligtas sa bakbakan sa Marawi ... nabaril naman ng Pulis...Patay! KapusoBrigade,"(['San Jose del Monte', ' Bulacan'], Location((14.8110432, 121.0491569, 0.0)))",@24OrasGMA,#MVRHamon,900680870796734465,https://twitter.com/hermie05_kb/status/900680870796734465,fil
reeyuuhn,2017-08-24 19:26,1,1,Ang sad naman nung sundalong nakasurvive nga sa marawi,,,,,,fil
kairopacheco,2017-08-24 19:26,0,0,SUNDALO GALING MARAWI NAPATAY NG PULIS???,,,,900680766710874113,https://twitter.com/kairopacheco/status/900680766710874113,fil
SerdanMelbert,2017-08-24 19:25,0,1,Itapon na sa marawi mga pulis na yan.,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,900680424019550208,https://twitter.com/SerdanMelbert/status/900680424019550208,fil
jorgebelike,2017-08-24 19:19,0,2,Bakit po yung mga namatay na sundalo sa marawi di mo nadalaw?,,,,900679050187780096,https://twitter.com/jorgebelike/status/900679050187780096,fil
rayzhapresno,2017-08-24 19:15,0,0,May binaril na sundalo at ang bumaril yung pulis. Yung sundalo is pauwi na from marawi kasi lumaban siya doon.,,,,900678008821829632,https://twitter.com/rayzhapresno/status/900678008821829632,fil
marawi_22,2017-08-24 19:15,0,0,إختصرها أحمد شوقي حين قال : هجرت بعض أحبتي طوعاً لأنّني رأيت قلوبهم تهوى فراقي، نعم اشتاق ولكن وضعت كرامتي فوق اشتياقي.,,,,900677993240178688,https://twitter.com/marawi_22/status/900677993240178688,ar
marawi_22,2017-08-24 19:14,0,0,حلُو الشخص اللّي راضي فيك رُغم إنه شاف منّك غلط وأثنين وثلاثة بحقه ، كأنه يقول أنا أخلق لك من الغلط سبعين عذر بس ما أخسرك.,,,,900677773726973952,https://twitter.com/marawi_22/status/900677773726973952,ar
CallmeAirra,2017-08-24 19:11,0,1,yun laang kaso pag hindi,,,,,,fil
engkuazmin,2017-08-24 19:10,0,1,Great sesh with Tuan Hj. Hasbullah,"(['Kuala Lumpur', ' MY'], Location((0.642715, 122.5909774, 0.0)))",,,,,ms
GoalieAli,2017-08-24 19:09,0,0,Judy Del Leon ikaw Ang hinayopak matapag ka na hayop ka Punta ka ng marawi . Putak lng ng putak yabang mo,"(['Kuwait City', 'kuwait'], Location((29.3797091, 47.9735629, 0.0)))",,,900676335894487042,https://twitter.com/GoalieAli/status/900676335894487042,fil
Juuvielaan,2017-08-24 19:08,0,0,Ay nko mlamn kolang dadagdag ako sa gulo sa marawi,,@Juulaan,,900676128364347396,https://twitter.com/Juuvielaan/status/900676128364347396,fil
ching_cherryann,2017-08-24 19:07,0,0,Puro nala faeldon pati lacson an balita sini na channel. Kumustaha daw an marawi liwat. Kan kian delos santos pahapyaw la. Anyari ba.,"(['Calbayog City', ' Eastern Visayas'], Location((12.066496, 124.5947387, 0.0)))",,,900675996621447168,https://twitter.com/ching_cherryann/status/900675996621447168,fil
commentbotph,2017-08-24 19:01,0,0,Dapat talaga epreso akalain mo naghirap sa marawi pro jan pla sya mamatay sa kamay ng mga pulis.....palpak,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,900674540254224384,https://twitter.com/commentbotph/status/900674540254224384,fil
Nyepzxc,2017-08-24 19:00,0,0,minsan naisip ko maging deadpool. tapos lahat ng pumapatay papatayin ko din. hahaha tapos pupunta ako sa marawi uubusin ko mga isis. hahahah,"(['Cavite PH'], Location((14.25, 120.833333, 0.0)))",,,900674259046940672,https://twitter.com/Nyepzxc/status/900674259046940672,fil
PTVph,2017-08-24 19:00,2,9,: PNP headquarters sa Marawi,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,,,fil
mchrpn,2017-08-24 18:59,0,0,"Mga balita ngayon puro KIAN""",,,,,,fil
jelyjelyyyyy,2017-08-24 18:58,0,0,Puro kana nlg jud balita ay. Ang marawi atimana haha,"(['Davao City'], Location((7.22650725, 125.454887691, 0.0)))",,,900673719302987777,https://twitter.com/jelyjelyyyyy/status/900673719302987777,ceb
jeonghaniie,2017-08-24 18:56,0,0,ipatapon sa marawi,,,,900673124110184448,https://twitter.com/jeonghaniie/status/900673124110184448,fil
jbx907,2017-08-24 18:52,0,0,Must Watch: MARAWI EX MAYOR ITINURO SI BAM AQUINO AT TRILLANES ANG UTAK SA PANGGUGULO NG MAUTE GROUP SA MARAWI . atch-marawi-ex-mayor-itinuro-si.html.WZ6vzsgfj34.twitter …,"(['Guiguinto Bulacan'], Location((14.8289491, 120.8792922, 0.0)))",,#,900672034845413377,https://twitter.com/jbx907/status/900672034845413377,fil
dzmmRP45,2017-08-24 18:49,0,0,Pangulong Duterte muling binisita ang tropa ng AFP/PNP sa Marawi City https:// tus/900670932569792513 …,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,900671449991708673,https://twitter.com/dzmmRP45/status/900671449991708673,fil
DZMMTeleRadyo,2017-08-24 18:48,10,72,TINGNAN: Pang. Duterte,"(['ABS-CBN', ' Diliman', ' Quezon City'], Location((11.5874907, 122.7520466, 0.0)))",,,,,fil
marawi_22,2017-08-24 18:48,0,0,حرفياً انا ما ازعل لكن اغير مواقع الاشخاص بحياتي حسب ما اواجه منهم وتمشي الحياه .,,,,900671058319114241,https://twitter.com/marawi_22/status/900671058319114241,ar
25euniceColat,2017-08-24 18:47,0,0,Ngaun nyo ipag tanggol ang mga pulis na yan! Ano!? Ginigigil nyo ako e! Di nga sya namatay sa marawi dito naman... http://,,,,9.01E+17,https://twitter.com/25euniceColat/status/900670856765952000,fil
bbaseIine,2017-08-24 18:46,0,0,Im paying for my: Fieldtrip Buwan ng Wika's Costume PTA Funds SBO funds 50 pesos for Marawi Teachers,,,,900670526804197376,https://twitter.com/bbaseIine/status/900670526804197376,fil
DanikaLising,2017-08-24 18:45,0,0,pabibo pa kase tong mga CHR na to e. Tapusin na kagad paulit ulit parang balita sa Marawi hahaha,,,,900670502057803776,https://twitter.com/DanikaLising/status/900670502057803776,fil
gmanewsfacebook,2017-08-24 18:45,0,0,Nakaligtas man sa bakbakan sa Marawi,,,,,,fil
marawi_22,2017-08-24 18:42,0,0,البلا ما هو مواعيد الحنين البلا لك بـوسط عايلتي سمي !,,,,900669674148552704,https://twitter.com/marawi_22/status/900669674148552704,ar
marawi_22,2017-08-24 18:41,0,0,حبيبي ذاك لا منّه ضحك ، تموت من بسمته احزاني .,,,,900669453788217345,https://twitter.com/marawi_22/status/900669453788217345,ar
marawi_22,2017-08-24 18:39,0,0,أنا سيئه جداً حينما أنجرح أكثر من مره وأتملل ، قد أبتسم بهدوء وأرحل دون عوده .,,,,900668947925741568,https://twitter.com/marawi_22/status/900668947925741568,ar
marawi_22,2017-08-24 18:38,0,0,أنا أسقُط وأنهضُ وحدي، يدك ضعها في جيبك وارحل.,,,,900668739351347200,https://twitter.com/marawi_22/status/900668739351347200,ar
gelorawr,2017-08-24 18:37,0,0,Magkano yung intel funds natin? Tapos sa fb lang kumukuha ng evidence/info? Kaya pala naatake ng Maute yung Marawi perfectly/flawlessly https:// status/900612576769331201 …,,,,900668489874014208,https://twitter.com/gelorawr/status/900668489874014208,fil
marawi_22,2017-08-24 18:37,0,0,تصدق انك في عُمري لي عمر وأنك حكايات المطرر..,,,,900668458911879168,https://twitter.com/marawi_22/status/900668458911879168,ar
rosecoloredarse,2017-08-24 18:33,0,1,Sundalong galing sa labanan sa Marawi napatay...... ng pulis ..... so PNP anuna ???? ?????? ?????,,,,900667396213456896,https://twitter.com/rosecoloredarse/status/900667396213456896,fil
BimbyGandanhari,2017-08-24 18:29,0,0,Buhay nga nakaalis ng Marawi,,,,,,fil
radyopilipinas1,2017-08-24 18:28,0,0,BALITA: Kinumpirma ni AFP spokesman Brig Gen Restituto Padilla na kontrolado na ng pamahalaan ang grand mosque sa Marawi,"(['Quezon City', ' Philippines'], Location((14.6509905, 121.0486155, 0.0)))",,,900666116007108608,https://twitter.com/radyopilipinas1/status/900666116007108608,fil
ryelaloreyn,2017-08-24 18:21,0,0,Balik ka na lang po sa marawi,"(['Batangas City', ' Calabarzon'], Location((13.65966045, 121.06852702, 0.0)))",,,900664318768709632,https://twitter.com/ryelaloreyn/status/900664318768709632,fil
JRomwell,2017-08-24 18:19,1,2,Kung gusto niyo ng patayan,,,,,,fil
fabio_polese,2017-08-24 18:11,4,4,Il sorriso. Anche quando non hai più niente.,"(['Perugia'], Location((43.1119613, 12.3890104, 0.0)))",,,,,it
utog69,2017-08-24 18:10,0,0,nadale ba naman ng baston na nadale muna ng lamok talagang hanggang Marawi yan kagulo mga Maute dinig nila me malaki pa sa kanilang ut..ewan,,,,900661597139386368,https://twitter.com/utog69/status/900661597139386368,fil
ibong_makulit,2017-08-24 18:08,0,0,Dagdag mo pa yung napatay na sundalo galing sa laban sa Marawi na napagkamalang nagpapagun for hire daw ayon sa info nila. Bwisit na PNP!!!,"(['MayWard Ave', 'Skrengge Love City'], Location((37.630912, -82.148124, 0.0)))",,,900661116958904321,https://twitter.com/ibong_makulit/status/900661116958904321,fil
hayangganda19,2017-08-24 18:06,0,0,Esang De Torres - Awit Sa Marawi (Official Lyric Video) https:// via,"(['Cauayan City', ' Cagayan Valley'], Location((9.98246655, 122.492561326, 0.0)))",@YouTube,,900660602250575872,https://twitter.com/hayangganda19/status/900660602250575872,uz
Aleyowna,2017-08-24 18:03,0,0,Dapat dun sa mga mmmtay tao pinapatapon sa marawi mga hayp.,,,,900659728602218496,https://twitter.com/Aleyowna/status/900659728602218496,fil
marawi_22,2017-08-24 17:59,0,0,التلميح بالرسايل له حُب ثاني ..,,,,900658776260390913,https://twitter.com/marawi_22/status/900658776260390913,ar
PHLNewsInsider,2017-08-24 17:52,0,0,Zia Alonto-Adiong on Grand Mosque recovery: It brings back our strength and hope na sana matapos na ang gulo dito sa Marawi |,,@KatherineImson,,900657131459760129,https://twitter.com/PHLNewsInsider/status/900657131459760129,fil
dzIQ990,2017-08-24 17:41,4,10,Grand Mosque sa Marawi nabawi na ng militar mula sa kamay ng Maute group |,"(['Makati City'], Location((14.5591272, 121.0202094, 0.0)))",@chonayu1,,900654317115277312,https://twitter.com/dzIQ990/status/900654317115277312,fil
marawi_22,2017-08-24 17:40,0,0,سأبقيك سراً كما وعدتك ليس خوفاً من شيء لكننا حين نبوح بالنعم امام الجميع تزول وانا اريدك شيئاً لا ينتهي ..,,,,900654055478972416,https://twitter.com/marawi_22/status/900654055478972416,ar
joannaxdiaz,2017-08-24 17:38,0,0,May napatay yung mga pulis na militar na nagbabakasyon galing Marawi . hayyyyyy.,"(['Baguio / La Union', ' Philippines'], Location((16.4172032, 120.59553, 0.0)))",,,900653570462064640,https://twitter.com/joannaxdiaz/status/900653570462064640,fil
marawi_22,2017-08-24 17:36,0,0,أريدُه بأنانية العشاق بعنف المجانين حيث لا عين تلمحه ولا يد تلمسه .,,,,900653032190468097,https://twitter.com/marawi_22/status/900653032190468097,ar
marawi_22,2017-08-24 17:35,0,0,مليح الصوت لو يحكي تمنيت الحكي ينعاد .,,,,900652847716585473,https://twitter.com/marawi_22/status/900652847716585473,ar
NewsRmn,2017-08-24 17:33,0,0,Grand mosque sa Marawi,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,,,fil
angge_g,2017-08-24 17:32,1,2,hahahahaha marawi moments tindi pala tay hahaha,,,,900652067030679552,https://twitter.com/angge_g/status/900652067030679552,fil
iamhonestogram,2017-08-24 17:22,0,1,Wag kayong ano,"(['Mandaluyong City'], Location((14.5774598, 121.0334694, 0.0)))",,,,,fil
Access_TRUTH,2017-08-24 17:19,6,25,PANININDIGAN ______________________ Brother John Pacquiao,,,,,,fil
yesha074,2017-08-24 17:18,0,0,Maraming Batang muslim s marawi didma para kay Hontevsros at ibang senador pero si kian na galing s drug bida si honteveros,"(['Doha-Qatar'], Location((25.3014957, 51.4996673988, 0.0)))",@pinglacsonofcl,,900648496361074689,https://twitter.com/yesha074/status/900648496361074689,fil
yesha074,2017-08-24 17:14,0,1,Buti pa si kian ipinaglalaban ni honteveros at ibang senator pero nagyari s marawi maraming namatay na bata wala dedma dahil ba s mga muslim,"(['Doha-Qatar'], Location((25.3014957, 51.4996673988, 0.0)))",,,900647543083814914,https://twitter.com/yesha074/status/900647543083814914,fil
maxangelo987,2017-08-24 17:09,0,0,http:// 2 Isang sundalo na kauuwi lang mula Marawi City ang binaril nang mapaghinalaang miyembro ng isang gun-for-hire …,,,,900646174738219009,https://twitter.com/maxangelo987/status/900646174738219009,fil
shirubang,2017-08-24 17:07,0,0,Yung sabik ka makabalik sa pamilya mo dahil ligtas ka after ng bakbakan sa marawi pero isang hinala lang ang papatay sayo :( https:// /900642358944874497 …,,,,900645848937144320,https://twitter.com/shirubang/status/900645848937144320,fil
ianjumarang,2017-08-24 17:07,0,0,Hala sundalo pa sa Marawi ... http://,,,,900645842171731968,https://twitter.com/ianjumarang/status/900645842171731968,fil
PHINewsNet1,2017-08-24 17:06,0,0,Marawi City Police Station na pinagkutaan ng Maute Terrorist Group sa Marawi,"(['Manila City', ' National Capital Region'], Location((14.5906216, 120.9799696, 0.0)))",,,,,fil
8trimedia,2017-08-24 17:05,0,0,AFP SISIKAPING MATAPOS ANG MARAWI CRISIS SA LOOB NG 15 ARAW | via READ MORE: http:// dd,"(['Manila Philippines'], Location((14.5906216, 120.9799696, 0.0)))",@8trimedia,,900645345998249985,https://twitter.com/8trimedia/status/900645345998249985,fil
PHINewsNet1,2017-08-24 17:02,0,0,:Kinumpirma ng na nabawi na ng militar ang Marawi Police station na kinubkob ng Maute-ISIS group. (via ),"(['Manila City', ' National Capital Region'], Location((14.5906216, 120.9799696, 0.0)))",@TeamAFP @glenjuego,#BREAKINGNEWSNOW,900644347070132224,https://twitter.com/PHINewsNet1/status/900644347070132224,fil
gmanews,2017-08-24 16:54,14,29,Isang sundalo na kauuwi lang mula Marawi City ang binaril nang mapaghinalaang miyembro ng isang gun-for-hire group.,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,900642358944874497,https://twitter.com/gmanews/status/900642358944874497,fil
egdsgn,2017-08-24 16:52,0,0,Headquarters ng PNP sa Marawi City,"(['Davao City', ' Davao Region'], Location((7.22650725, 125.454887691, 0.0)))",,,,,fil
dzxl558_rea,2017-08-24 16:51,2,0,Sa ngayon naka-concentrate sa clearing operation sa Grand Mosque ang Joint Task Force Marawi -BGen Padilla,"(['National Capital Region'], Location((14.5736108, 121.0329706, 0.0)))",@NewsRmn @erelcabatbat,,900641720865509376,https://twitter.com/dzxl558_rea/status/900641720865509376,fil
dzxl558_rea,2017-08-24 16:49,2,0,Grand mosque sa Marawi City napasok na ng militar matapos maagaw ng Maute Terrorist Group -BGen Padilla,"(['National Capital Region'], Location((14.5736108, 121.0329706, 0.0)))",@NewsRmn @erelcabatbat,,900641240995078144,https://twitter.com/dzxl558_rea/status/900641240995078144,fil
egdsgn,2017-08-24 16:44,0,0,PNP headquarters sa Marawi,"(['Davao City', ' Davao Region'], Location((7.22650725, 125.454887691, 0.0)))",,,,,fil
Mhelanesha_07,2017-08-24 16:43,0,0,Adtagfirullah. Ito ang plano ng gobeyrno' Ang sakopin ng Marawi http:// u,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,900639803321929729,https://twitter.com/Mhelanesha_07/status/900639803321929729,fil
iameugeneeric,2017-08-24 16:37,0,0,Punyetang mga pulis na ito ah trigger happy or paranoid pati bayani na nakipagbakbakan sa marawi eh pinatay... http://,"(['ad doha'], Location((24.5562051, 46.812608, 0.0)))",,,900638197260144640,https://twitter.com/iameugeneeric/status/900638197260144640,fil
bob_marley69,2017-08-24 16:28,0,0,Dimo malaman anong magiging reaction --- di napatay ng terorista sa marawi -- napag kamalan na hitman ---- http://,,,,900635893366755329,https://twitter.com/bob_marley69/status/900635893366755329,fil
econcepcion,2017-08-24 16:23,0,2,Thank you for your service and ultimate sacrifice. I bet he didn't see this coming after Marawi . Pulis lang pala papatay sa kanya.,,,,900634643229097984,https://twitter.com/econcepcion/status/900634643229097984,fil
EtatsY,2017-08-24 16:21,0,0,nowadays PNP personnel all over the Phils becomes a trigger happy dapat lahat ng PNP sa MM dalhin sa marawi o sa basilan matatapang lahat,"(['Nova Scotia', ' Canada'], Location((45.1955867, -63.1658939, 0.0)))",,,900634138276880385,https://twitter.com/EtatsY/status/900634138276880385,fil
kissB6002,2017-08-24 16:16,0,0,Anak ng !!!!!!!! Nakaligtas nga cya sa mga terrorista sa Marawi pero hndi s mga kamay ng 2 pulis n in,,,,900632912999010304,https://twitter.com/kissB6002/status/900632912999010304,fil
BomboRadyoNews,2017-08-24 16:14,0,0,Mosque sa war zone na ginawang kampo ng Maute-ISIS,"(['Makati City'], Location((14.5591272, 121.0202094, 0.0)))",,,,,fil
maxangelo987,2017-08-24 16:14,0,0,http:// 2 Sundalong nadestino sa Marawi na naghihintay ng sasakyan,,,,,,fil
maxangelo987,2017-08-24 16:14,0,0,http:// 2 Isang sundalo na ka-uuwi lang mula Marawi City ang binaril nang mapag-hinalaang miyembro ng isang gun-for-hire …,,,,900632404884426752,https://twitter.com/maxangelo987/status/900632404884426752,fil
SimounDJeweler,2017-08-24 16:12,0,0,Pambihira. Bayani sa Marawi,"(['Calabarzon'], Location((14.16441485, 121.353652374, 0.0)))",,,,,fil
PHLNewsOnline,2017-08-24 16:10,0,0,[GMA News] Sundalong nadestino sa Marawi na naghihintay ng sasakyan,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,,,fil
buletinmalaysia,2017-08-24 16:01,0,0,Polis: Video baru IS di Marawi bahaya,"(['Malaysia'], Location((2.3923759, 112.8471939, 0.0)))",,,,,ms
gmanewsfacebook,2017-08-24 15:53,0,0,Isang sundalo na ka-uuwi lang mula Marawi City ang binaril nang mapag-hinalaang miyembro ng isang gun-for-hire... http://,,,,900626999797886976,https://twitter.com/gmanewsfacebook/status/900626999797886976,fil
Beb_BabyShark,2017-08-24 15:52,0,2,Ingay ingay ng mga tu nung may mga sundalong sugatan sa gyera dun sa marawi d man lang nakadalaw,,,,900626890313957377,https://twitter.com/Beb_BabyShark/status/900626890313957377,fil
dzrhnews,2017-08-24 15:41,0,1,Sundalong galing Marawi,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,,,fil
iamhonestogram,2017-08-24 15:40,0,1,Kung sabagay,"(['Mandaluyong City'], Location((14.5774598, 121.0334694, 0.0)))",,,,,fil
iamUrKhaleesi_,2017-08-24 15:36,1,2,Tangina ulit Mocha,"(['Christmas Island'], Location((-10.4909589, 105.617414292, 0.0)))",,,,,fil
SandyCabe1,2017-08-24 15:36,1,1,Madam pagkatapus nyan tulungan mudin ang marawi victim ha ..wag tayong plastik sa tao wag pakitang tao lang,,,,900622890545979392,https://twitter.com/SandyCabe1/status/900622890545979392,fil
HainahBandrang,2017-08-24 15:29,0,0,Adn bes a monthsary imanto o mga bakwit Galing noh ? Pinaglalaruan niyo pa ang nangyari sa Marawi Asthag.,"(['Baguio City'], Location((14.6481727, 121.0315073, 0.0)))",,#Rainyafternoon,900621069454725120,https://twitter.com/HainahBandrang/status/900621069454725120,fil
DZMMTeleRadyo,2017-08-24 15:27,2,10,BGen. Padilla: Marawi City Police Station na pinagkutaan ng Maute group,"(['ABS-CBN', ' Diliman', ' Quezon City'], Location((11.5874907, 122.7520466, 0.0)))",,,,,fil
leastpogi,2017-08-24 15:26,0,0,Samok na lage ning kian incident. Ginapadako ug samot ang issue. Maikog mn sd ang phil army sainyo nga naas marawi . Tsk2.,"(['Cagayan De Oro City', ' Northern'], Location((8.42980265, 124.682410212, 0.0)))",,,900620399343394817,https://twitter.com/leastpogi/status/900620399343394817,ceb
dzxl558_rea,2017-08-24 15:26,2,0,Marawi City Police Station nabawi na ng militar sa Maute Group -Bgen Padilla,"(['National Capital Region'], Location((14.5736108, 121.0329706, 0.0)))",@NewsRmn @erelcabatbat,,900620244598759424,https://twitter.com/dzxl558_rea/status/900620244598759424,fil
maxangelo987,2017-08-24 15:24,0,0,http:// 2 Kinumpirma ng TeamAFP na nabawi na ng militar ang Marawi Police station na kinubkob ng Maute-ISIS group. …,,,,900619810706509825,https://twitter.com/maxangelo987/status/900619810706509825,fil
bncmrqz,2017-08-24 15:22,0,0,yung nakaligtas nga sa bakbakan sa marawi yung sundalo pero pinatay ng mga pulis :(((,,,,900619377011073026,https://twitter.com/bncmrqz/status/900619377011073026,fil
PTVph,2017-08-24 15:20,1,2,WATCH: Opisyal na pahayag ng AFP kaugnay ng napatay ng pulis na sundalo mula sa labanan sa Marawi City | via Eunice Samonte,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,900618878987902976,https://twitter.com/PTVph/status/900618878987902976,fil
umbhaya,2017-08-24 15:13,1,0,Mga taong nang aano sarap itapon sa marawi MAYWARD MoviePromoSOON,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,#PushAwardsMayWards,900617022295470080,https://twitter.com/umbhaya/status/900617022295470080,fil
Theeng17,2017-08-24 15:12,0,0,الله,,,,900616869807349760,https://twitter.com/Theeng17/status/900616869807349760,ar
lambayung23,2017-08-24 15:10,0,0,Allahu akbar kawawa na talaga ang taga marawi https:// tus/900612221478223872 …,"(['Cotabato city'], Location((7.1970344, 124.2351714, 0.0)))",,#PushAwardsMayWards,900616343082237953,https://twitter.com/lambayung23/status/900616343082237953,fil
Sh_____d,2017-08-24 15:06,0,0,فداااك الروح والدم سهومه يسعد صباحك,,,,900615277842452480,https://twitter.com/Sh_____d/status/900615277842452480,ar
JhienianE,2017-08-24 15:05,0,0,Doon.yan.n nararapat c chloe s marawi isama n nya.c grace at yaya diding,"(['Sharjah', ' United Arab Emirates'], Location((25.21700105, 51.4756841931, 0.0)))",,,,,fil
Sahoma_q8,2017-08-24 15:03,4,5,فدييييتكم حبيباتي,"(['\xd9\x83\xd9\x8a\xd9\x81\xd8\xa7\xd9\x86', ' \xd8\xaf\xd9\x88\xd9\x84\xd8\xa9 \xd8\xa7\xd9\x84\xd9\x83\xd9\x88\xd9\x8a\xd8\xaa'], Location((29.3385681, 47.9618183, 0.0)))",,,900614564504535041,https://twitter.com/Sahoma_q8/status/900614564504535041,ar
lanceair,2017-08-24 15:02,0,0,Ang mga sundalo na nakipag Laban sa marawi at ang mga atletang pinoy na nag dala ng karangalan sa bansa yan dapat ang balita..,"(['manila philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,900614384837214208,https://twitter.com/lanceair/status/900614384837214208,fil
